bowler,total_wickets,total_balls,total_runs_given,economy
WG Jacks,4,57,81,8.53
STR Binny,4,89,115,7.75
RE van der Merwe,4,43,42,5.86
Harsh Dubey,4,36,54,9.0
Basil Thampi,4,118,162,8.24
KL Nagarkoti,4,63,95,9.05
Bipul Sharma,4,76,100,7.89
KMA Paul,4,50,69,8.28
AA Chavan,4,98,117,7.16
Yash Thakur,4,129,221,10.28
SE Bond,3,49,42,5.14
SC Ganguly,3,43,47,6.56
Yudhvir Singh,3,37,74,12.0
J Syed Mohammad,3,49,83,10.16
AD Mathews,3,129,161,7.49
PD Collingwood,3,42,42,6.0
RR Powar,3,52,41,4.73
DJ Hooda,3,94,139,8.87
DAJ Bracewell,3,25,31,7.44
Vijaykumar Vyshak,3,63,89,8.48
Gurkeerat Singh,3,49,63,7.71
JDS Neesham,3,111,155,8.38
JEC Franklin,3,50,78,9.36
AS Joseph,3,62,88,8.52
SMSM Senanayake,3,50,42,5.04
A Ashish Reddy,3,47,87,11.11
CRD Fernando,3,72,85,7.08
Azmatullah Omarzai,3,51,75,8.82
T Stubbs,3,13,14,6.46
JP Duminy,3,81,95,7.04
SS Cottrell,3,65,62,5.72
R Dhawan,3,100,126,7.56
M Markande,3,56,81,8.68
BA Stokes,3,70,73,6.26
AS Rajpoot,3,88,116,7.91
Shahid Afridi,3,25,27,6.48
SM Pollock,3,73,83,6.82
TS Mills,3,38,62,9.79
ND Doshi,2,33,31,5.64
TM Head,2,18,30,10.0
S Sandeep Warrier,2,30,55,11.0
S Lamichhane,2,24,27,6.75
R Rampaul,2,65,67,6.18
Parvez Rasool,2,54,59,6.56
PC Valthaty,2,62,66,6.39
V Kohli,2,25,36,8.64
S Dube,2,42,67,9.57
PH Solanki,2,12,20,10.0
V Nigam,2,79,93,7.06
V Puthur,2,18,31,10.33
V Shankar,2,69,78,6.78
PJ Sangwan,2,72,94,7.83
VR Aaron,2,55,99,10.8
VR Iyer,2,38,49,7.74
P Parameswaran,2,22,19,5.18
Rasikh Salam,2,63,78,7.43
Zeeshan Ansari,2,72,113,9.42
Akash Singh,2,43,69,9.63
L Ablish,2,14,17,7.29
AF Milne,2,69,113,9.83
AJ Tye,2,71,112,9.46
KA Maharaj,2,36,39,6.5
K Gowtham,2,72,87,7.25
